Pipe_Size_mm,Thickness_mm,Material,Grade,Max_Pressure_psi,Temperature_C,Corrosion_Impact_Percent,Thickness_Loss_mm,Material_Loss_Percent,Time_Years,Condition,Failure_Risk,Inspection_Cost,Repair_Cost,Downtime,Recommended_Action
200,7.81,Fiberglass,API 5L X52,150,12.2,4.41,0.35,4.48,12,Normal,0.3390297910487007,1295,17218,7,Monitor
1200,35.28,Fiberglass,API 5L X65,900,75.8,0.43,0.43,1.22,5,Normal,0.3492095746126609,1472,11869,2,Monitor
250,8.88,PVC,API 5L X42,600,51.3,8.29,0.51,5.74,14,Normal,0.7259556788702394,1092,7247,8,Immediate Repair
50,4.48,Fiberglass,API 5L X42,2500,7.1,16.35,4.56,101.79,16,Moderate,0.8971102599525771,1637,12088,5,Immediate Repair
100,6.06,PVC,API 5L X42,2500,127.7,2.4,8.96,147.85,22,Critical,0.8870864242651173,1563,5078,7,Immediate Repair
100,7.34,PVC,API 5L X42,600,19.2,5.91,7.41,100.95,23,Critical,0.7798755458576239,1824,13080,4,Immediate Repair
250,12.12,PVC,API 5L X65,2500,60.7,6.85,5.47,45.13,23,Critical,0.6420316461542878,723,12099,5,Schedule Inspection
1000,25.02,PVC,API 5L X52,900,16.0,15.69,5.17,20.66,1,Critical,0.08413996499504883,817,8926,8,Monitor
250,14.96,PVC,API 5L X42,2500,129.2,9.53,9.0,60.16,9,Critical,0.16162871409461377,848,14047,1,Monitor
1500,30.96,PVC,ASTM A106 Grade B,150,-37.1,17.86,9.21,29.75,8,Critical,0.8985541885270792,614,12340,1,Immediate Repair
250,14.22,PVC,ASTM A106 Grade B,300,40.6,18.47,8.16,57.38,21,Critical,0.6064290596595899,1197,19802,4,Schedule Inspection
100,6.95,Fiberglass,API 5L X52,2500,88.3,13.98,9.08,130.65,25,Critical,0.009197051616629648,1846,19916,3,Monitor
150,6.91,HDPE,API 5L X52,600,0.5,16.27,6.74,97.54,22,Critical,0.1014715428660321,1563,18727,2,Monitor
300,13.13,Stainless Steel,ASTM A106 Grade B,150,-18.5,12.74,2.12,16.15,19,Moderate,0.6635017691080558,539,12083,3,Schedule Inspection
50,5.83,PVC,API 5L X42,150,18.7,16.74,0.05,0.86,5,Normal,0.005061583846218687,1812,19784,1,Monitor
50,4.5,PVC,API 5L X42,150,48.2,18.04,0.25,5.56,12,Normal,0.16080805141749865,1785,11230,1,Monitor
1000,21.84,HDPE,API 5L X42,2500,8.7,12.14,9.75,44.64,4,Critical,0.5487337893665861,715,15340,6,Schedule Inspection
150,5.43,HDPE,ASTM A106 Grade B,1500,8.9,13.32,5.21,95.95,18,Critical,0.6918951976926933,1670,14223,5,Schedule Inspection
100,6.12,PVC,ASTM A333 Grade 6,300,1.7,12.05,7.16,116.99,12,Critical,0.6519612595026005,835,9940,8,Schedule Inspection
50,4.3,Stainless Steel,API 5L X42,300,127.1,0.92,4.79,111.4,13,Moderate,0.22426930946055978,1691,8271,2,Monitor
1200,31.01,PVC,API 5L X42,900,27.2,5.0,3.03,9.77,9,Moderate,0.7121792213475359,591,16768,4,Immediate Repair
1200,28.75,HDPE,ASTM A333 Grade 6,150,31.1,7.43,2.1,7.3,13,Moderate,0.23724908749680007,852,17374,8,Monitor
200,6.88,HDPE,ASTM A333 Grade 6,600,56.6,3.37,0.35,5.09,25,Normal,0.3253996981592677,1070,19378,6,Monitor
1200,20.66,HDPE,API 5L X42,150,118.5,11.43,8.42,40.76,5,Critical,0.7464914051180241,1315,8456,1,Immediate Repair
500,12.66,Stainless Steel,API 5L X42,600,68.5,16.75,7.28,57.5,2,Critical,0.6496328990472147,1280,12788,4,Schedule Inspection
800,28.54,Fiberglass,API 5L X52,900,72.3,14.88,2.43,8.51,21,Moderate,0.8492234104941779,862,16698,1,Immediate Repair
250,14.06,Fiberglass,ASTM A106 Grade B,300,73.9,16.34,1.45,10.31,6,Normal,0.6576128923003434,1056,13599,2,Schedule Inspection
100,6.45,Fiberglass,API 5L X65,900,95.9,15.64,7.02,108.84,20,Critical,0.5683086033354716,1868,12650,5,Schedule Inspection
100,6.91,PVC,ASTM A106 Grade B,150,16.8,18.59,6.81,98.55,4,Critical,0.09367476782809248,1693,7711,8,Monitor
600,21.01,Stainless Steel,API 5L X65,300,30.9,13.18,8.26,39.31,14,Critical,0.3677158030594335,855,16280,8,Monitor
250,10.13,Stainless Steel,API 5L X42,600,66.0,0.17,2.86,28.23,17,Moderate,0.26520236768172545,690,6668,3,Monitor
50,3.31,PVC,API 5L X52,2500,88.0,14.16,9.58,289.43,18,Critical,0.24398964337908358,921,5147,4,Monitor
1500,43.88,Stainless Steel,API 5L X42,150,107.8,10.93,8.06,18.37,11,Critical,0.9730105547524456,1199,11420,6,Immediate Repair
300,11.6,Fiberglass,API 5L X52,900,110.5,3.02,5.65,48.71,19,Critical,0.3930977246667604,506,17519,3,Monitor
50,5.46,Fiberglass,API 5L X65,1500,26.2,14.04,9.36,171.43,17,Critical,0.8920465551771133,632,17089,2,Immediate Repair
300,8.96,Carbon Steel,API 5L X42,2500,48.7,2.38,4.63,51.67,2,Moderate,0.6311386259972629,1056,15142,6,Schedule Inspection
200,10.9,Fiberglass,API 5L X52,900,-13.0,13.91,2.18,20.0,17,Moderate,0.7948113035416484,1325,5365,5,Immediate Repair
100,7.36,Stainless Steel,API 5L X42,150,-9.5,4.15,5.57,75.68,13,Critical,0.5026370931051921,1260,14866,5,Schedule Inspection
600,27.85,Fiberglass,ASTM A106 Grade B,600,14.6,12.75,0.78,2.8,19,Normal,0.5769038846263591,1554,9531,5,Schedule Inspection
1200,25.26,HDPE,ASTM A333 Grade 6,2500,-9.8,9.52,8.18,32.38,13,Critical,0.4925176938188639,1034,17686,5,Schedule Inspection
150,6.96,Carbon Steel,ASTM A106 Grade B,600,53.8,2.38,8.69,124.86,3,Critical,0.1952429877980445,925,10330,3,Monitor
50,3.69,Carbon Steel,ASTM A333 Grade 6,600,-13.4,18.1,8.29,224.66,5,Critical,0.7224521152615053,1917,10510,7,Immediate Repair
50,5.5,Fiberglass,API 5L X42,1500,53.7,1.59,2.7,49.09,3,Moderate,0.2807723624408558,1171,15738,6,Monitor
150,6.24,HDPE,API 5L X52,1500,30.8,4.11,5.58,89.42,11,Critical,0.02431596643145384,862,19875,4,Monitor
600,22.17,PVC,API 5L X52,150,36.1,17.92,4.1,18.49,4,Moderate,0.6454722959071678,1960,13754,2,Schedule Inspection
100,5.72,Fiberglass,API 5L X52,300,12.3,11.19,6.79,118.71,12,Critical,0.17711067940704894,581,16754,9,Monitor
100,4.14,Carbon Steel,API 5L X42,600,19.3,10.6,8.34,201.45,21,Critical,0.9404585843529143,855,15681,1,Immediate Repair
1500,31.27,Fiberglass,ASTM A333 Grade 6,150,69.0,16.49,6.96,22.26,10,Critical,0.9539285770025874,1781,18572,4,Immediate Repair
800,24.36,HDPE,API 5L X52,600,116.6,3.27,5.57,22.87,9,Critical,0.9148643902204485,1088,13964,1,Immediate Repair
1500,43.2,Carbon Steel,ASTM A333 Grade 6,900,48.7,13.27,5.5,12.73,4,Critical,0.3701587002554444,794,11493,6,Monitor
800,30.44,HDPE,API 5L X42,900,15.8,2.16,4.98,16.36,4,Moderate,0.015456616528867428,1747,15229,4,Monitor
200,7.82,PVC,API 5L X42,2500,-0.5,16.0,3.75,47.95,14,Moderate,0.9283185625877254,1569,16615,5,Immediate Repair
400,12.31,Carbon Steel,ASTM A106 Grade B,150,-15.5,4.47,5.41,43.95,11,Critical,0.42818414831731433,1636,15759,5,Schedule Inspection
400,8.35,HDPE,ASTM A106 Grade B,2500,-9.2,1.94,8.44,101.08,9,Critical,0.9666548190436696,1756,10439,9,Immediate Repair
1500,33.41,PVC,ASTM A106 Grade B,300,54.7,10.59,9.85,29.48,8,Critical,0.9636199770892528,516,19473,1,Immediate Repair
200,7.74,Carbon Steel,API 5L X52,900,-25.9,1.27,0.64,8.27,1,Normal,0.8530094554673601,859,14765,2,Immediate Repair
300,8.68,HDPE,API 5L X52,300,-21.0,4.76,6.01,69.24,22,Critical,0.2944488920695857,1746,16886,6,Monitor
1200,22.53,HDPE,ASTM A333 Grade 6,150,17.8,13.58,4.11,18.24,7,Moderate,0.38509772860192526,1365,18279,5,Monitor
250,10.95,Fiberglass,ASTM A106 Grade B,2500,11.7,8.82,4.04,36.89,24,Moderate,0.8511366715168569,1199,11511,7,Immediate Repair
100,4.89,Carbon Steel,ASTM A333 Grade 6,600,2.4,2.51,0.61,12.47,8,Normal,0.31692200515627766,947,16483,3,Monitor
50,5.62,PVC,API 5L X42,900,42.2,0.44,6.21,110.5,20,Critical,0.1694927466860925,1355,12504,3,Monitor
300,15.95,Fiberglass,API 5L X42,1500,26.0,15.26,0.94,5.89,16,Normal,0.5568012624583502,864,6246,2,Schedule Inspection
50,3.04,Carbon Steel,ASTM A106 Grade B,300,32.6,4.6,9.69,318.75,15,Critical,0.936154774160781,1174,16911,3,Immediate Repair
400,17.32,Fiberglass,API 5L X52,900,31.4,1.33,1.79,10.33,12,Normal,0.696029796674973,1507,8839,1,Schedule Inspection
100,5.21,Stainless Steel,ASTM A106 Grade B,300,67.5,2.93,5.76,110.56,19,Critical,0.570061170089365,1849,13551,5,Schedule Inspection
500,24.44,PVC,ASTM A333 Grade 6,300,11.9,12.93,6.75,27.62,10,Critical,0.09717649377076854,966,18208,5,Monitor
1200,34.3,Carbon Steel,ASTM A106 Grade B,150,89.3,6.74,3.16,9.21,5,Moderate,0.6150072266991697,913,7376,7,Schedule Inspection
150,6.58,Carbon Steel,ASTM A333 Grade 6,2500,95.9,10.16,6.98,106.08,22,Critical,0.9900538501042633,1978,8009,4,Immediate Repair
400,15.23,HDPE,ASTM A333 Grade 6,300,44.5,5.53,4.54,29.81,1,Moderate,0.14008401523652403,1085,19798,3,Monitor
50,3.25,Fiberglass,ASTM A333 Grade 6,1500,34.6,5.32,9.52,292.92,11,Critical,0.5183296523637367,1756,16185,1,Schedule Inspection
500,14.29,Stainless Steel,API 5L X52,2500,21.4,4.5,8.42,58.92,18,Critical,0.8773730719279554,1747,14154,8,Immediate Repair
1500,44.29,PVC,ASTM A106 Grade B,600,54.1,12.97,1.59,3.59,4,Normal,0.7407686177542044,1493,16824,3,Immediate Repair
1000,31.28,Stainless Steel,API 5L X65,1500,30.0,3.04,9.71,31.04,16,Critical,0.697015740995268,1935,6827,2,Schedule Inspection
1200,37.12,Stainless Steel,ASTM A106 Grade B,2500,102.2,8.3,5.86,15.79,20,Critical,0.7024840839871093,1071,11979,4,Immediate Repair
800,25.85,Stainless Steel,API 5L X65,1500,21.4,9.85,1.36,5.26,8,Normal,0.35949115121975517,834,14805,3,Monitor
100,4.55,Stainless Steel,ASTM A106 Grade B,600,62.3,9.87,8.53,187.47,25,Critical,0.29359184426449336,1745,14832,1,Monitor
1500,47.27,HDPE,ASTM A106 Grade B,600,0.6,8.51,3.84,8.12,9,Moderate,0.8093611554785136,536,15408,3,Immediate Repair
150,6.25,Fiberglass,ASTM A106 Grade B,2500,-36.4,12.69,8.31,132.96,20,Critical,0.8101133946791808,1488,17504,2,Immediate Repair
1500,34.77,Carbon Steel,API 5L X52,2500,127.0,13.73,5.56,15.99,21,Critical,0.8670723185801037,777,13569,8,Immediate Repair
250,9.9,HDPE,API 5L X65,150,21.9,0.33,6.21,62.73,17,Critical,0.9132405525564713,1719,17406,6,Immediate Repair
100,6.3,PVC,ASTM A106 Grade B,150,20.2,1.08,5.06,80.32,8,Critical,0.5113423988609378,1415,9285,9,Schedule Inspection
1000,28.47,HDPE,ASTM A333 Grade 6,900,58.5,8.4,0.71,2.49,10,Normal,0.5015162946871996,983,11910,8,Schedule Inspection
600,23.1,PVC,ASTM A333 Grade 6,2500,41.9,15.62,7.28,31.52,25,Critical,0.7982951789667752,1765,13561,3,Immediate Repair
800,19.82,Fiberglass,ASTM A106 Grade B,900,14.3,15.34,2.63,13.27,18,Moderate,0.6499639307777652,1847,19089,5,Schedule Inspection
200,8.01,PVC,ASTM A333 Grade 6,900,35.3,2.73,5.1,63.67,22,Critical,0.7019668772577033,1230,7196,7,Immediate Repair
50,3.03,Stainless Steel,ASTM A106 Grade B,1500,32.3,1.7,5.19,171.29,10,Critical,0.795792669436101,691,8747,5,Immediate Repair
500,16.18,Stainless Steel,ASTM A106 Grade B,300,18.1,6.3,7.77,48.02,8,Critical,0.8900053418175663,1540,13843,8,Immediate Repair
800,25.94,Stainless Steel,API 5L X52,2500,-8.2,16.89,7.31,28.18,15,Critical,0.3379951568515358,1023,10978,5,Monitor
100,7.95,PVC,API 5L X65,2500,9.5,13.9,1.71,21.51,13,Normal,0.375582952639944,1417,10607,1,Monitor
100,5.96,Carbon Steel,API 5L X65,2500,-22.2,12.29,3.89,65.27,19,Moderate,0.093981939840869,900,5769,5,Monitor
600,22.74,Stainless Steel,ASTM A106 Grade B,600,58.3,19.34,8.04,35.36,25,Critical,0.578280140996174,1385,15613,4,Schedule Inspection
500,14.74,HDPE,API 5L X65,150,-37.6,19.17,4.33,29.38,14,Moderate,0.035942273796742086,1204,5780,6,Monitor
400,17.53,PVC,API 5L X65,300,83.6,2.28,4.64,26.47,19,Moderate,0.46559801813246016,521,14908,3,Schedule Inspection
800,23.62,HDPE,ASTM A106 Grade B,900,-24.3,10.58,0.92,3.9,7,Normal,0.5426446347075766,973,11303,5,Schedule Inspection
100,4.34,Stainless Steel,ASTM A106 Grade B,900,145.8,6.75,4.82,111.06,20,Moderate,0.2865412521282844,1643,19686,2,Monitor
800,25.01,Fiberglass,API 5L X52,900,46.9,13.68,8.81,35.23,13,Critical,0.5908332605690108,709,8983,6,Schedule Inspection
600,16.41,HDPE,API 5L X65,600,66.4,1.02,9.31,56.73,4,Critical,0.03050024993904943,805,14503,6,Monitor
1000,29.23,Fiberglass,ASTM A106 Grade B,2500,135.0,4.65,8.47,28.98,16,Critical,0.03734818874921442,1793,16551,5,Monitor
800,27.97,Fiberglass,API 5L X65,2500,72.0,7.73,0.88,3.15,17,Normal,0.8226005606596583,1203,18537,6,Immediate Repair
100,4.13,HDPE,API 5L X52,2500,-17.9,4.13,3.1,75.06,18,Moderate,0.3601906414112629,1186,13714,7,Monitor
1000,21.35,Fiberglass,ASTM A333 Grade 6,150,53.1,20.0,7.27,34.05,8,Critical,0.12706051265188478,784,5521,5,Monitor
1000,26.04,Fiberglass,ASTM A333 Grade 6,1500,57.7,9.79,9.56,36.71,20,Critical,0.5222432600548044,1215,18070,1,Schedule Inspection
100,4.37,HDPE,ASTM A106 Grade B,900,131.5,17.74,9.87,225.86,11,Critical,0.7699935530986108,1262,15512,8,Immediate Repair
600,12.73,Stainless Steel,ASTM A333 Grade 6,1500,48.8,15.15,5.74,45.09,4,Critical,0.21582102749684318,1750,14127,4,Monitor
400,10.05,HDPE,ASTM A106 Grade B,1500,7.5,10.2,6.39,63.58,5,Critical,0.6228904758190003,1447,12569,9,Schedule Inspection
1200,37.42,Stainless Steel,API 5L X65,1500,95.1,9.49,4.49,12.0,23,Moderate,0.085347464993768,880,15422,6,Monitor
50,5.99,PVC,ASTM A333 Grade 6,900,95.0,17.22,2.51,41.9,13,Moderate,0.0516817211686077,959,17232,1,Monitor
300,14.67,Fiberglass,API 5L X52,2500,51.2,18.37,8.46,57.67,4,Critical,0.531354631568148,1530,10784,3,Schedule Inspection
1000,29.16,Carbon Steel,ASTM A333 Grade 6,600,-24.7,2.48,3.82,13.1,4,Moderate,0.5406351216101065,528,9583,3,Schedule Inspection
500,14.55,PVC,API 5L X65,600,19.9,0.39,5.98,41.1,24,Critical,0.6374299014982066,1406,10946,4,Schedule Inspection
50,3.29,Carbon Steel,ASTM A333 Grade 6,900,64.5,6.04,6.54,198.78,25,Critical,0.7260913337226615,1556,9941,6,Immediate Repair
150,5.64,Carbon Steel,API 5L X42,2500,115.0,9.71,9.46,167.73,6,Critical,0.9758520794625346,1378,11267,7,Immediate Repair
600,16.95,Stainless Steel,API 5L X42,900,32.4,4.15,2.59,15.28,25,Moderate,0.5163003483011953,578,12128,4,Schedule Inspection
500,20.82,Fiberglass,ASTM A333 Grade 6,600,48.6,11.23,4.76,22.86,23,Moderate,0.32295647294124596,1446,16889,6,Monitor
400,19.55,Carbon Steel,API 5L X52,2500,60.2,18.7,5.55,28.39,17,Critical,0.7951861947687037,958,16029,1,Immediate Repair
1000,22.39,PVC,ASTM A333 Grade 6,2500,-0.5,19.74,2.69,12.01,3,Moderate,0.2708322512620742,1069,17275,8,Monitor
50,5.12,HDPE,API 5L X42,150,61.6,3.02,2.42,47.27,23,Moderate,0.4389714207056361,1953,7461,7,Schedule Inspection
400,13.91,Fiberglass,API 5L X52,600,58.5,17.46,8.09,58.16,25,Critical,0.07845638134226596,1237,19291,9,Monitor
1200,34.42,Carbon Steel,API 5L X42,1500,49.4,10.78,0.71,2.06,11,Normal,0.02535074341545751,1808,19036,3,Monitor
50,4.89,Stainless Steel,ASTM A333 Grade 6,2500,-6.4,1.81,0.63,12.88,18,Normal,0.9626484146779251,1015,16435,2,Immediate Repair
800,29.88,Stainless Steel,API 5L X65,300,77.8,10.19,4.84,16.2,3,Moderate,0.8359801205122058,1622,16551,1,Immediate Repair
250,11.0,PVC,API 5L X52,1500,21.8,4.52,2.59,23.55,21,Moderate,0.695974206093698,896,5685,3,Schedule Inspection
500,13.59,Fiberglass,ASTM A106 Grade B,300,15.7,5.37,6.78,49.89,16,Critical,0.4089529444142699,538,7160,5,Schedule Inspection
200,7.34,Stainless Steel,API 5L X52,900,98.6,18.62,6.63,90.33,12,Critical,0.17329432007084578,1794,12031,2,Monitor
1500,43.02,Stainless Steel,API 5L X52,2500,14.3,2.02,2.77,6.44,12,Moderate,0.15643704267108605,1386,17180,3,Monitor
1200,37.74,HDPE,ASTM A333 Grade 6,600,58.9,9.44,1.64,4.35,7,Normal,0.25024289816459533,1296,17258,4,Monitor
300,7.62,Fiberglass,ASTM A333 Grade 6,900,-46.2,0.13,2.22,29.13,13,Moderate,0.5492266647061205,656,19457,7,Schedule Inspection
100,5.91,Carbon Steel,API 5L X42,900,127.5,13.05,1.7,28.76,3,Normal,0.7145959227000623,1598,14759,3,Immediate Repair
50,3.76,Fiberglass,ASTM A106 Grade B,2500,86.9,11.94,2.19,58.24,24,Moderate,0.6601973767177313,1383,10341,9,Schedule Inspection
1200,32.92,Stainless Steel,API 5L X52,150,39.3,11.6,2.13,6.47,2,Moderate,0.27993389694594284,1653,5038,8,Monitor
100,4.19,Fiberglass,ASTM A333 Grade 6,2500,21.0,8.86,7.86,187.59,24,Critical,0.9548652806631941,1473,15736,4,Immediate Repair
1500,29.92,Stainless Steel,API 5L X52,300,5.7,9.75,3.35,11.2,22,Moderate,0.7378969166957685,1607,9875,1,Immediate Repair
800,16.55,Stainless Steel,ASTM A106 Grade B,150,18.9,19.84,1.27,7.67,4,Normal,0.5543540525114007,1545,6256,1,Schedule Inspection
1200,35.13,Fiberglass,API 5L X52,150,51.9,13.13,8.37,23.83,4,Critical,0.6117207462343522,1982,16182,1,Schedule Inspection
600,19.15,Fiberglass,ASTM A106 Grade B,900,94.0,8.78,5.15,26.89,2,Critical,0.4196000624277899,1348,12697,1,Schedule Inspection
100,7.27,HDPE,ASTM A333 Grade 6,600,28.3,8.89,7.04,96.84,12,Critical,0.24773098950115746,1905,7196,8,Monitor
500,23.96,Stainless Steel,API 5L X65,2500,64.0,14.84,2.95,12.31,17,Moderate,0.3559726786512616,1247,16660,3,Monitor
50,4.61,Carbon Steel,API 5L X42,150,61.2,13.48,6.08,131.89,21,Critical,0.7578461104643691,1963,12165,6,Immediate Repair
300,13.51,Carbon Steel,ASTM A106 Grade B,900,11.3,12.79,0.51,3.77,25,Normal,0.014393488629755868,1488,15900,3,Monitor
150,7.49,Stainless Steel,API 5L X42,150,37.8,12.89,4.96,66.22,17,Moderate,0.11607264050691624,520,19215,5,Monitor
200,6.32,Carbon Steel,API 5L X52,150,-27.2,6.05,4.09,64.72,17,Moderate,0.04600264202175275,802,5301,7,Monitor
100,5.17,PVC,API 5L X42,300,-3.3,17.88,7.56,146.23,9,Critical,0.040728802318970136,1368,12527,2,Monitor
400,17.69,PVC,API 5L X42,900,74.7,11.7,8.34,47.15,19,Critical,0.8554605840110072,583,11381,6,Immediate Repair
1200,30.5,Carbon Steel,ASTM A106 Grade B,900,15.0,2.06,4.74,15.54,12,Moderate,0.7036578593800237,1976,5646,6,Immediate Repair
300,7.92,Stainless Steel,API 5L X52,150,103.9,16.53,3.01,38.01,10,Moderate,0.4741738290873252,1910,17950,3,Schedule Inspection
50,3.45,HDPE,API 5L X42,900,93.3,2.54,4.25,123.19,22,Moderate,0.09783416065100148,1780,19571,6,Monitor
50,5.4,PVC,ASTM A106 Grade B,600,71.0,7.13,4.43,82.04,1,Moderate,0.49161587511683236,1069,14951,5,Schedule Inspection
600,18.79,HDPE,API 5L X42,2500,7.5,8.62,8.25,43.91,6,Critical,0.4734717707805657,1433,19538,2,Schedule Inspection
500,20.48,Carbon Steel,ASTM A333 Grade 6,300,21.3,1.03,3.09,15.09,14,Moderate,0.17320186991001518,1685,17543,9,Monitor
500,12.51,PVC,API 5L X42,150,14.4,16.61,8.28,66.19,10,Critical,0.43385164923797304,1686,13789,8,Schedule Inspection
1000,15.72,Carbon Steel,ASTM A333 Grade 6,2500,124.9,5.2,4.34,27.61,22,Moderate,0.39850473439737344,1508,13853,3,Monitor
1000,29.26,Stainless Steel,API 5L X52,1500,31.0,11.96,7.23,24.71,8,Critical,0.6158500980522165,1292,9330,8,Schedule Inspection
400,12.45,PVC,ASTM A333 Grade 6,1500,-24.8,7.4,7.92,63.61,9,Critical,0.6350936508676438,1291,14560,9,Schedule Inspection
50,5.26,Carbon Steel,ASTM A106 Grade B,2500,61.1,16.8,4.71,89.54,1,Moderate,0.04530400977204452,1794,15773,3,Monitor
600,19.59,HDPE,ASTM A106 Grade B,2500,65.8,5.32,5.73,29.25,11,Critical,0.3746126146264712,991,12003,3,Monitor
50,3.62,Carbon Steel,API 5L X65,900,19.5,1.86,3.38,93.37,22,Moderate,0.6258599157142364,707,17060,2,Schedule Inspection
200,11.96,Carbon Steel,ASTM A106 Grade B,2500,63.4,14.19,7.02,58.7,15,Critical,0.5031362585800877,1583,8537,8,Schedule Inspection
1000,30.86,Stainless Steel,API 5L X65,900,45.4,13.15,0.07,0.23,3,Normal,0.8564898411883223,929,18057,1,Immediate Repair
150,5.72,Carbon Steel,API 5L X65,150,141.8,0.8,1.08,18.88,1,Normal,0.658693631618945,1484,19876,8,Schedule Inspection
50,5.27,HDPE,API 5L X42,150,77.8,11.29,1.25,23.72,17,Normal,0.1629344270814297,1832,17500,7,Monitor
50,3.31,Carbon Steel,API 5L X42,2500,13.4,2.44,5.12,154.68,5,Critical,0.07056874740042984,1019,9558,7,Monitor
400,16.64,Carbon Steel,ASTM A333 Grade 6,150,0.2,12.16,5.08,30.53,3,Critical,0.6424192782063156,1090,11579,3,Schedule Inspection
1500,45.09,HDPE,API 5L X42,900,-5.4,2.46,1.27,2.82,3,Normal,0.026511310541621813,1550,13474,1,Monitor
400,16.71,Stainless Steel,API 5L X65,600,83.4,5.34,1.57,9.4,14,Normal,0.5857755812734633,698,16870,4,Schedule Inspection
300,11.47,Stainless Steel,API 5L X52,150,55.0,16.76,2.96,25.81,4,Moderate,0.9402302414249576,886,14678,9,Immediate Repair
1200,38.61,HDPE,ASTM A106 Grade B,1500,41.5,12.53,5.45,14.12,25,Critical,0.575474177875879,848,9082,5,Schedule Inspection
200,11.62,PVC,ASTM A333 Grade 6,900,14.9,18.9,7.87,67.73,8,Critical,0.3881699262065219,1459,18718,1,Monitor
800,31.61,HDPE,API 5L X65,300,87.0,7.94,5.94,18.79,7,Critical,0.6432882184423532,1192,9183,5,Schedule Inspection
200,6.74,PVC,API 5L X65,2500,10.1,10.63,5.21,77.3,21,Critical,0.45825289049151663,877,18355,8,Schedule Inspection
800,17.35,PVC,API 5L X65,150,20.1,16.34,7.86,45.3,2,Critical,0.5456167893159349,1398,13652,8,Schedule Inspection
1200,32.64,Stainless Steel,API 5L X42,300,18.7,9.66,5.42,16.61,11,Critical,0.9414648087765252,1415,15517,5,Immediate Repair
50,5.73,Stainless Steel,ASTM A333 Grade 6,600,3.2,9.01,0.33,5.76,19,Normal,0.38610263780077425,1026,8754,9,Monitor
500,15.5,HDPE,ASTM A333 Grade 6,2500,32.0,9.84,8.88,57.29,17,Critical,0.9611905638239142,1676,15660,1,Immediate Repair
400,15.39,Carbon Steel,ASTM A106 Grade B,2500,62.2,0.26,8.55,55.56,4,Critical,0.9053506419560637,1233,6724,4,Immediate Repair
200,7.27,Carbon Steel,API 5L X65,600,115.3,19.99,1.2,16.51,6,Normal,0.19579113478929644,705,6376,3,Monitor
1200,38.24,PVC,API 5L X42,300,91.6,2.71,1.98,5.18,8,Normal,0.06936130087516545,954,15935,2,Monitor
300,15.69,HDPE,API 5L X52,300,27.8,4.53,3.86,24.6,22,Moderate,0.10077800137742665,1796,13706,8,Monitor
200,9.94,Carbon Steel,ASTM A333 Grade 6,1500,37.2,1.22,1.07,10.76,14,Normal,0.018221825651549728,1759,13894,7,Monitor
50,5.65,PVC,API 5L X42,600,-40.9,6.92,9.13,161.59,22,Critical,0.0944429607559284,1020,6653,9,Monitor
50,3.66,Fiberglass,ASTM A106 Grade B,900,78.5,3.75,0.31,8.47,25,Normal,0.6830067734163568,1516,7066,2,Schedule Inspection
800,16.71,Stainless Steel,API 5L X65,150,-18.6,6.23,7.8,46.68,2,Critical,0.07118864846022899,1455,5022,4,Monitor
200,7.49,Fiberglass,API 5L X52,900,48.1,13.08,7.44,99.33,14,Critical,0.3189756302937613,1225,7460,6,Monitor
50,5.82,Fiberglass,API 5L X42,900,67.8,5.7,1.77,30.41,20,Normal,0.8448753109694546,1513,18341,3,Immediate Repair
50,4.29,PVC,ASTM A106 Grade B,600,37.2,19.35,4.88,113.75,19,Moderate,0.023271935735825866,1000,10926,8,Monitor
1500,31.98,Fiberglass,API 5L X42,600,-37.7,2.6,4.74,14.82,8,Moderate,0.8144684825889358,616,11251,3,Immediate Repair
1200,25.4,HDPE,ASTM A333 Grade 6,300,-7.9,1.88,3.47,13.66,14,Moderate,0.28185477477339993,885,14496,2,Monitor
1500,28.54,PVC,API 5L X52,600,-14.3,15.64,9.3,32.59,22,Critical,0.11816482762165625,1867,12295,3,Monitor
50,4.82,Stainless Steel,API 5L X65,900,16.8,12.1,8.4,174.27,4,Critical,0.6967371653641506,1083,8300,6,Schedule Inspection
300,16.33,Carbon Steel,API 5L X42,2500,65.8,11.08,1.6,9.8,18,Normal,0.628942846779884,894,18422,2,Schedule Inspection
1500,34.75,PVC,API 5L X52,2500,15.2,18.76,5.44,15.65,21,Critical,0.877472013527053,1587,11279,8,Immediate Repair
150,5.08,Fiberglass,API 5L X52,600,21.5,15.15,3.88,76.38,17,Moderate,0.7350710438038858,1220,13553,1,Immediate Repair
250,9.92,Stainless Steel,ASTM A333 Grade 6,150,-18.7,3.27,1.61,16.23,17,Normal,0.8034809303848486,571,12353,7,Immediate Repair
50,3.86,Carbon Steel,API 5L X42,600,141.6,11.94,7.18,186.01,8,Critical,0.2820345725713065,773,8727,2,Monitor
50,5.74,HDPE,ASTM A106 Grade B,300,19.9,8.8,4.18,72.82,8,Moderate,0.17743954377972282,1843,11272,6,Monitor
500,10.93,PVC,API 5L X52,600,100.2,11.3,9.62,88.01,12,Critical,0.7506147516408583,837,10995,2,Immediate Repair
1500,23.47,Fiberglass,API 5L X52,150,18.3,10.75,9.02,38.43,9,Critical,0.806834739267264,1889,14476,2,Immediate Repair
